59,Match/Varmint,Berger,40,0.224,5,30,0.119,0,0,0,0,0,0,0,0,0,0
60,Match/Varmint,Berger,40,0.224,5,35,0.141,0,0,0,0,0,0,0,0,0,0
61,Match/Varmint,Berger,40,0.224,5,40,0.16,0,0,0,0,0,0,0,0,0,0
62,Match,Berger,40,0.224,5,45,0.218,0,0,0,0,0,0,0,0,0,0
63,Match/Varmint,Berger,40,0.224,5,45,0.18,0,0,0,0,0,0,0,0,0,0
64,Match,Berger,40,0.224,5,50,0.233,0,0,0,0,0,0,0,0,0,0
65,Match/Varmint,Berger,40,0.224,5,50,0.196,0,0,0,0,0,0,0,0,0,0
66,FB Varmint (22309),Berger,40,0.224,5,52,0.201,0.72,0,0,0,0,0,0,0,0,0
67,Match,Berger,40,0.224,5,52,0.242,0,0,0,0,0,0,0,0,0,0
68,Match/Varmint,Berger,40,0.224,5,52,0.197,0,0,0,0,0,0,0,0,0,0
69,Match,Berger,40,0.224,5,55,0.262,0,0,0,0,0,0,0,0,0,0
70,Match/Varmint,Berger,40,0.224,5,55,0.21,0,0,0,0,0,0,0,0,0,0
71,Match,Berger,40,0.224,5,60,0.288,0,0,0,0,0,0,0,0,0,0
72,Match/Varmint,Berger,40,0.224,5,60,0.278,0,0,0,0,0,0,0,0,0,0
73,Match,Berger,40,0.224,5,62,0.298,0,0,0,0,0,0,0,0,0,0
74,Match/Varmint,Berger,40,0.224,5,62,0.291,0,0,0,0,0,0,0,0,0,0
75,Match,Berger,40,0.224,5,64,0.306,0,0,0,0,0,0,0,0,0,0
76,Match/Varmint,Berger,40,0.224,5,64,0.294,0,0,0,0,0,0,0,0,0,0
77,Match VLD,Berger,40,0.224,5,70,0.365,0,0,0,0,0,0,0,0,0,0
78,Match BT,Berger,40,0.224,5,73,0.343,0,0,0,0,0,0,0,0,0,0
79,Match VLD,Berger,40,0.224,5,75,0.423,0,0,0,0,0,0,0,0,0,0
80,Match BT,Berger,40,0.224,5,77,0.376,0,0,0,0,0,0,0,0,0,0
81,Match VLD,Berger,40,0.224,5,80,0.444,0,0,0,0,0,0,0,0,0,0
82,FULLBORE Target,Berger,40,0.224,5,80.5,0.441,1.091,0,0,0,0,0,0,0,0,0
83,Match BT,Berger,40,0.224,5,82,0.423,0,0,0,0,0,0,0,0,0,0
84,Match BT,Berger,40,0.224,5,90,0.525,0,0,0,0,0,0,0,0,0,0
85,Match VLD,Berger,40,0.224,5,90,0.552,0,0,0,0,0,0,0,0,0,0
86,M193,Gov't,110,0.224,5,55,0.255,0,0,0,0,0,0,0,0,0,0
87,SS109,Gov't,110,0.224,5,62,0.325,0,0,0,0,0,0,0,0,0,0
88,M855,Gov't,110,0.224,5,62,0.301,0,0,0,0,0,0,0,0,0,0
89,Hunter,Hammer,111,0.224,5,52,0.22,0.8,0,0,0,0,0,0,0,0,0
90,V-MAX,Hornady,3,0.224,5,35,0.109,0,0,0,0,0,0,0,0,0,0
91,V-MAX,Hornady,3,0.224,5,40,0.2,0,0,0,0,0,0,0,0,0,0
92,Hornet,Hornady,3,0.224,5,45,0.202,0,0,0,0,0,0,0,0,0,0
93,Bee (FN),Hornady,3,0.224,5,45,0.108,0,0,0,0,0,0,0,0,0,0
94,V-MAX,Hornady,3,0.224,5,50,0.242,0,0,0,0,0,0,0,0,0,0
95,SXSP,Hornady,3,0.224,5,50,0.214,0,0,0,0,0,0,0,0,0,0
96,SP,Hornady,3,0.224,5,50,0.214,0,0,0,0,0,0,0,0,0,0
97,A-MAX,Hornady,3,0.224,5,52,0.247,0.8,0,0,0,0,0,0,0,0,0
98,BTHP Match,Hornady,3,0.224,5,52,0.229,0.713,0,0,0,0,0,0,0,0,0
99,ELD Match,Hornady,3,0.224,5,52,0.247,0.8,0,0,0,0,0,0,0,0,0
100,HP Match,Hornady,3,0.224,5,53,0.218,0.715,0,0,0,0,0,0,0,0,0
101,V-MAX,Hornady,3,0.224,5,53,0.29,0.827,0,0,0,0,0,0,0,0,0
102,E-Tip,Hornady,3,0.224,5,55,0.305,0.9,0,0,0,0,0,0,0,0,0
103,V-MAX,Hornady,3,0.224,5,55,0.252,0.811,0,0,0,0,0,0,0,0,0
104,FMJ-BT,Hornady,3,0.224,5,55,0.243,0.735,0,0,0,0,0,0,0,0,0
105,V-MAX w/c,Hornady,3,0.224,5,55,0.235,0.811,0,0,0,0,0,0,0,0,0
106,SP W/C (#2266),Hornady,3,0.224,5,55,0.235,0.715,0,0,0,0,0,0,0,0,0
107,SP (#2265),Hornady,3,0.224,5,55,0.235,0.715,0,0,0,0,0,0,0,0,0
108,SP SX (#2240),Hornady,3,0.224,5,55,0.214,0.697,0,0,0,0,0,0,0,0,0
109,HP,Hornady,3,0.224,5,60,0.271,0.804,0,0,0,0,0,0,0,0,0
110,SP,Hornady,3,0.224,5,60,0.264,0.75,0,0,0,0,0,0,0,0,0
111,V-MAX,Hornady,3,0.224,5,60,0.256,0.87,0,0,0,0,0,0,0,0,0
112,FMJ (22760B),Hornady,3,0.224,5,62,0.274,0.82,0,0,0,0,0,0,0,0,0
113,BTHP Match,Hornady,3,0.224,5,62,0.27,0.82,0,0,0,0,0,0,0,0,0
114,BTHP Match,Hornady,3,0.224,5,68,0.355,0,0,0,0,0,0,0,0,0,0
115,SP w/c,Hornady,3,0.224,5,70,0.296,0,0,0,0,0,0,0,0,0,0
116,ELD Match,Hornady,3,0.224,5,73,0.398,1.05,0,0,0,0,0,0,0,0,0
117,A-MAX,Hornady,3,0.224,5,75,0.435,0,0,0,0,0,0,0,0,0,0
118,BTHP Match,Hornady,3,0.224,5,75,0.395,0,0,0,0,0,0,0,0,0,0
119,ELD Match,Hornady,3,0.224,5,75,0.467,1.11,0,0,0,0,0,0,0,0,0
120,A-MAX,Hornady,3,0.224,5,80,0.473,0,0,0,0,0,0,0,0,0,0
121,ELD Match,Hornady,3,0.224,5,80,0.485,1.155,0,0,0,0,0,0,0,0,0
122,HPCE,Lapua,20,0.224,5,51,0.221,0,0,0,0,0,0,0,0,0,0
123,SP (E539),Lapua,20,0.224,5,55,0.185,0.675,0,0,0,0,0,0,0,0,0
124,SP,Lapua,20,0.224,5,55,0.208,0,0,0,0,0,0,0,0,0,0
125,SP,Lapua,20,0.224,5,55,0.202,0,0,0,0,0,0,0,0,0,0
126,Spitzer,Lapua,20,0.224,5,55,0.251,0,0,0,0,0,0,0,0,0,0
127,Scenar (GB544),Lapua,20,0.224,5,69,0.341,0.935,0,0,0,0,0,0,0,0,0
128,Scenar Silver,Lapua,20,0.224,5,69,0.321,0,0,0,0,0,0,0,0,0,0
129,Scenar GB527,Lapua,20,0.224,5,77,0.386,0,0,0,0,0,0,0,0,0,0
130,GTX (10657401),Norma,17,0.224,5,69,0.393,0,0,0,0,0,0,0,0,0,0
131,FB Tipped Varmageddon,Nosler,23,0.224,5,35,0.12,0.52,0,0,0,0,0,0,0,0,0
132,FBHP,Nosler,23,0.224,5,40,0.158,0.565,0,0,0,0,0,0,0,0,0
133,FB Tipped Varmageddon,Nosler,23,0.224,5,40,0.211,0.665,0,0,0,0,0,0,0,0,0
134,FB Tipped Varmageddon,Nosler,23,0.224,5,53,0.303,0.83,0,0,0,0,0,0,0,0,0
135,FBHP,Nosler,23,0.224,5,55,0.21,0.7,0,0,0,0,0,0,0,0,0
136,FB Tipped Varmageddon,Nosler,23,0.224,5,55,0.255,0.795,0,0,0,0,0,0,0,0,0
137,FBHP  Varmageddon,Nosler,23,0.224,5,62,0.251,0.77,0,0,0,0,0,0,0,0,0
138,Ballistic Tip Varmint,Nosler,23,0.224,5,40,0.221,0.705,0,0,0,0,0,0,0,0,0
139,Hornet,Nosler,23,0.224,5,45,0.144,0,0,0,0,0,0,0,0,0,0
140,Ballistic Tip Varmint,Nosler,23,0.224,5,50,0.238,0.8,0,0,0,0,0,0,0,0,0
141,Custom Competition,Nosler,23,0.224,5,52,0.22,0.717,0,0,0,0,0,0,0,0,0
142,HP Match,Nosler,23,0.224,5,52,0.22,0,0,0,0,0,0,0,0,0,0
143,E-Tip,Nosler,23,0.224,5,55,0.305,0.89,0,0,0,0,0,0,0,0,0
144,Ballistic Tip Varmint,Nosler,23,0.224,5,55,0.267,0.81,0,0,0,0,0,0,0,0,0
145,Ballistic Tip Varmint,Nosler,23,0.224,5,60,0.27,0.851,0,0,0,0,0,0,0,0,0
146,Partition,Nosler,23,0.224,5,60,0.228,0,0,0,0,0,0,0,0,0,0
147,Bonded PERFORMANCE,Nosler,23,0.224,5,64,0.231,0.8,0,0,0,0,0,0,0,0,0
148,Custom Competition,Nosler,23,0.224,5,69,0.305,0.902,0,0,0,0,0,0,0,0,0
149,HPBT Match,Nosler,23,0.224,5,69,0.305,0,0,0,0,0,0,0,0,0,0
150,RDF,Nosler,23,0.224,5,70,0.416,0.965,0,0,0,0,0,0,0,0,0
151,Accubond,Nosler,23,0.224,5,70,0.37,0.965,0,0,0,0,0,0,0,0,0
152,Custom Competition,Nosler,23,0.224,5,77,0.34,0.973,0,0,0,0,0,0,0,0,0
153,HPBT Match,Nosler,23,0.224,5,77,0.34,0,0,0,0,0,0,0,0,0,0
154,Custom Competition,Nosler,23,0.224,5,80,0.415,1.078,0,0,0,0,0,0,0,0,0
155,HPBT Match,Nosler,23,0.224,5,80,0.415,0,0,0,0,0,0,0,0,0,0
156,FMJ BT (B-212),PPU,27,0.224,5,55,0.256,0,0,0,0,0,0,0,0,0,0
157,FMJ BT (B-615),PPU,27,0.224,5,55,0.256,0,0,0,0,0,0,0,0,0,0
158,FMJ BT (B-419),PPU,27,0.224,5,62,0.29,0,0,0,0,0,0,0,0,0,0
159,HP,Sierra,25,0.224,5,40,0.155,0,0,0,0,0,0,0,0,0,0
160,Hornet,Sierra,25,0.224,5,40,0.116,0,0,0,0,0,0,0,0,0,0
161,BlitzKing,Sierra,25,0.224,5,40,0.196,0,3000,0.182,2875,0.177,2500,0.171,2250,0,0
